run_date,ticker,sector,score,entry_price,original_stop,atr,exit_price,exit_day,exit_reason,peak_close,final_stop,stop_moved,return_pct,prob,allocation_pct
2025-07-28 20:32,FGP,Leisure,80,221.17,210.7,10.4688,229.77,5,friday_close,229.77,210.7,False,3.89,61.7,19.3
2025-07-28 20:32,SHEL,Energy,75,2686.14,2646.42,39.7219,2681.14,5,friday_close,2710.14,2646.42,False,-0.19,60.7,17.6
2025-08-04 20:32,PRU,Insurance,85,950.34,933.67,16.6738,968.74,5,friday_close,970.54,933.67,False,1.94,62.8,20.7
2025-08-04 20:32,UU,Utilities,85,1149.83,1129.64,20.1932,1136.33,5,friday_close,1158.33,1129.64,False,-1.17,62.8,20.7
2025-08-04 20:32,FGP,Leisure,85,229.77,220.12,9.6542,229.77,5,friday_close,231.97,220.12,False,0.0,62.8,20.7
2025-08-04 20:32,JFJ,FinServices,85,643.92,633.31,10.6135,658.92,5,friday_close,658.92,633.31,False,2.33,62.8,20.7
2025-08-04 20:32,BA,Industrials,75,1835.37,1793.91,41.4621,1793.91,3,stop_hit,1857.87,1793.91,False,-2.26,60.7,17.3
2025-08-11 20:32,GPE,FinServices,100,337.97,329.77,8.1999,329.77,1,stop_hit,337.97,329.77,False,-2.43,65.9,26.6
2025-08-11 20:32,ZIG,Industrials,80,335.75,325.34,10.4139,336.75,5,friday_close,343.25,325.34,False,0.3,61.7,19.6
2025-08-11 20:32,ANTO,Mining,75,2036.89,1985.69,51.1979,2101.88,5,friday_close,2121.88,1985.69,False,3.19,60.7,17.9
2025-08-11 20:32,NWG,Banking,75,533.0,521.51,11.4856,547.0,5,friday_close,553.4,521.51,False,2.63,60.7,17.9
2025-08-11 20:32,HTWS,Telecoms,75,121.6,118.55,3.054,124.4,5,friday_close,124.4,118.55,False,2.3,60.7,17.9
2025-08-18 20:32,EDIN,FinServices,110,794.85,786.63,8.2245,815.85,4,friday_close,815.85,786.63,False,2.64,68.0,24.9
2025-08-18 20:32,SNR,Industrials,95,199.79,190.93,8.8564,200.49,4,friday_close,200.49,190.93,False,0.35,64.9,20.6
2025-08-18 20:32,CCH,ConsStaples,90,3892.0,3820.31,71.6863,3820.31,5,stop_hit,3996.0,3820.31,False,-1.84,63.8,19.1
2025-08-18 20:32,EDV,Mining,85,2485.5,2412.51,72.9944,2551.49,4,friday_close,2577.48,2412.51,False,2.65,62.8,17.7
2025-08-18 20:32,JD,Retail,85,87.8,85.31,2.4876,93.26,4,friday_close,94.02,85.31,False,6.22,62.8,17.7
2025-08-25 20:32,EXPN,Industrials,95,3868.82,3805.05,63.7666,3805.05,3,stop_hit,3868.82,3805.05,False,-1.65,64.9,20.9
2025-08-25 20:32,DNLM,Retail,95,1226.71,1200.14,26.5697,1200.14,4,stop_hit,1231.7,1200.14,False,-2.17,64.9,20.9
2025-08-25 20:32,QLT,FinServices,95,168.08,163.43,4.6454,164.4,5,friday_close,168.08,163.43,False,-2.19,64.9,20.9
2025-08-25 20:32,MAB,Leisure,90,268.5,260.6,7.895,260.6,4,stop_hit,268.5,260.6,False,-2.94,63.8,19.4
2025-08-25 20:32,ELM,Chemicals,85,168.2,163.91,4.2941,163.91,2,stop_hit,168.2,163.91,False,-2.55,62.8,18.0
2025-09-01 20:32,HTG,Energy,85,333.96,320.72,13.2395,326.46,5,friday_close,342.45,320.72,False,-2.25,62.8,22.2
2025-09-01 20:32,INVP,FinServices,85,547.32,532.86,14.4646,579.31,5,friday_close,579.31,532.86,False,5.84,62.8,22.2
2025-09-01 20:32,BAB,Industrials,75,1036.98,1006.72,30.2594,1103.98,5,friday_close,1103.98,1006.72,False,6.46,60.7,18.5
2025-09-01 20:32,TSCO,ConsStaples,75,430.95,424.18,6.7718,439.95,5,friday_close,440.95,424.18,False,2.09,60.7,18.5
2025-09-01 20:32,SRE,RealEstate,75,101.47,99.0,2.4668,99.0,1,stop_hit,101.47,99.0,False,-2.43,60.7,18.5
2025-09-08 20:32,BLND,RealEstate,90,338.1,331.31,6.7895,338.5,5,friday_close,339.9,331.31,False,0.12,63.8,21.3
2025-09-08 20:32,CMCX,FinServices,90,222.96,212.68,10.2775,222.96,5,friday_close,222.96,212.68,False,0.0,63.8,21.3
2025-09-08 20:32,ABF,ConsStaples,85,2236.56,2195.59,40.9649,2195.59,2,stop_hit,2240.55,2195.59,False,-1.83,62.8,19.7
2025-09-08 20:32,ELM,Chemicals,85,164.6,160.64,3.9598,163.4,5,friday_close,165.6,160.64,False,-0.73,62.8,19.7
2025-09-08 20:32,BCG,Tech,80,330.46,318.77,11.6924,324.48,5,friday_close,334.96,318.77,False,-1.81,61.7,18.0
2025-09-15 20:32,CTY,FinServices,95,500.9,495.68,5.221,498.4,5,friday_close,500.9,495.68,False,-0.5,64.9,21.2
2025-09-15 20:32,FSG,Banking,95,470.24,458.18,12.0697,466.41,5,friday_close,470.24,458.18,False,-0.81,64.9,21.2
2025-09-15 20:32,SSE,Energy,90,1672.34,1642.16,30.1796,1697.84,5,friday_close,1697.84,1642.16,False,1.52,63.8,19.7
2025-09-15 20:32,KIE,Materials,90,191.96,186.0,5.9521,211.95,5,friday_close,215.45,186.0,False,10.42,63.8,19.7
2025-09-15 20:32,UU,Utilities,85,1153.83,1134.39,19.4424,1134.39,5,stop_hit,1153.83,1134.39,False,-1.68,62.8,18.2
2025-09-22 20:32,ASHM,FinServices,90,169.06,162.76,6.2964,175.45,5,friday_close,175.45,162.76,False,3.78,63.8,22.0
2025-09-22 20:32,GSK,Pharma,85,1510.75,1480.28,30.4678,1480.28,3,stop_hit,1510.75,1480.28,False,-2.02,62.8,20.4
2025-09-22 20:32,ITH,Energy,85,188.72,180.13,8.5943,194.72,5,friday_close,199.92,180.13,False,3.18,62.8,20.4
2025-09-22 20:32,KGF,Retail,80,252.17,247.1,5.0641,303.86,5,friday_close,303.86,247.1,False,20.5,61.7,18.6
2025-09-22 20:32,FSG,Banking,80,466.41,453.99,12.4259,479.91,5,friday_close,479.91,453.99,False,2.89,61.7,18.6
2025-09-29 20:32,CHG,Industrials,95,581.0,563.85,17.1464,579.0,5,friday_close,593.0,563.85,False,-0.34,64.9,22.2
2025-09-29 20:32,SEIT,Energy,95,56.88,54.61,2.2717,56.98,5,friday_close,56.98,54.61,False,0.18,64.9,22.2
2025-09-29 20:32,SEQI,FinServices,90,77.07,76.0,1.0652,76.97,5,friday_close,78.17,76.0,False,-0.13,63.8,20.6
2025-09-29 20:32,ABF,ConsStaples,80,2026.6,1982.81,43.7834,2100.58,5,friday_close,2100.58,1982.81,False,3.65,61.7,17.5
2025-09-29 20:32,CSN,Insurance,80,271.0,264.6,6.4034,273.5,5,friday_close,276.0,264.6,False,0.92,61.7,17.5
2025-10-06 20:32,CHRY,FinServices,95,123.4,119.92,3.479,121.2,5,friday_close,123.4,119.92,False,-1.78,64.9,22.5
2025-10-06 20:32,SMIN,Industrials,85,2401.68,2358.76,42.9187,2377.68,5,friday_close,2437.67,2358.76,False,-1.0,62.8,19.4
2025-10-06 20:32,SN,Pharma,85,1342.0,1323.19,18.8072,1324.0,5,friday_close,1357.5,1323.19,False,-1.34,62.8,19.4
2025-10-06 20:32,CSN,Insurance,85,273.5,266.89,6.605,274.0,5,friday_close,279.5,266.89,False,0.18,62.8,19.4
2025-10-06 20:32,BGEO,Banking,85,7634.39,7382.69,251.706,7949.37,5,friday_close,7949.37,7382.69,False,4.13,62.8,19.4
2025-10-13 20:32,CWK,ConsStaples,90,4954.74,4857.07,97.6677,5039.73,5,friday_close,5039.73,4857.07,False,1.72,63.8,23.1
2025-10-13 20:32,HMSO,FinServices,85,293.0,285.99,7.0147,299.4,5,friday_close,299.4,285.99,False,2.18,62.8,21.4
2025-10-13 20:32,MAB,Leisure,80,249.0,240.26,8.7355,245.5,5,friday_close,250.5,240.26,False,-1.41,61.7,19.6
2025-10-13 20:32,PHNX,Insurance,75,668.5,656.67,11.8338,656.67,4,stop_hit,676.5,656.67,False,-1.77,60.7,17.9
2025-10-13 20:32,SPX,Industrials,75,6929.49,6779.7,149.7895,6779.7,1,stop_hit,6929.49,6779.7,False,-2.16,60.7,17.9
2025-10-20 20:32,HILS,Industrials,90,2104.83,2051.05,53.7727,2169.82,5,friday_close,2204.82,2051.05,False,3.09,63.8,21.2
2025-10-20 20:32,SN,Pharma,85,1356.0,1336.33,19.6656,1376.5,5,friday_close,1395.5,1336.33,False,1.51,62.8,19.7
2025-10-20 20:32,DOCS,Retail,85,91.74,87.41,4.3307,93.94,5,friday_close,94.99,87.41,False,2.4,62.8,19.7
2025-10-20 20:32,ELM,Chemicals,85,164.2,159.17,5.0272,169.4,5,friday_close,172.0,159.17,False,3.17,62.8,19.7
2025-10-20 20:32,PPET,FinServices,85,576.96,564.15,12.8031,607.96,5,friday_close,607.96,564.15,False,5.37,62.8,19.7
2025-10-27 20:32,AJB,FinServices,95,550.88,531.76,19.1253,541.88,5,friday_close,550.88,531.76,False,-1.63,64.9,21.8
2025-10-27 20:32,BGEO,Banking,95,7774.38,7540.74,233.6434,7964.37,5,friday_close,8004.36,7540.74,False,2.44,64.9,21.8
2025-10-27 20:32,ANTO,Mining,85,2713.0,2635.1,77.9001,2745.0,5,friday_close,2854.0,2635.1,False,1.18,62.8,18.8
2025-10-27 20:32,PRU,Insurance,85,1045.5,1025.12,20.38,1071.0,5,friday_close,1071.0,1025.12,False,2.44,62.8,18.8
2025-10-27 20:32,OXIG,Industrials,85,1931.95,1862.61,69.3386,1879.95,5,friday_close,1933.95,1862.61,False,-2.69,62.8,18.8
2025-11-03 20:32,ABDN,FinServices,80,205.0,199.4,5.601,203.6,5,friday_close,205.0,199.4,False,-0.68,61.7,20.7
2025-11-03 20:32,BYIT,Industrials,80,374.17,362.21,11.9558,362.21,3,stop_hit,374.17,362.21,False,-3.2,61.7,20.7
2025-11-03 20:32,FGP,Leisure,80,210.97,204.16,6.8097,204.16,4,stop_hit,210.97,204.16,False,-3.23,61.7,20.7
2025-11-03 20:32,BP,Energy,75,447.26,439.0,8.2594,464.01,5,friday_close,464.01,439.0,False,3.74,60.7,18.9
2025-11-03 20:32,CSN,Insurance,75,278.5,272.64,5.8562,276.0,5,friday_close,281.0,272.64,False,-0.9,60.7,18.9
2025-11-10 20:32,SUPR,FinServices,95,80.99,79.46,1.5212,79.46,4,stop_hit,81.89,79.46,False,-1.88,64.9,22.4
2025-11-10 20:32,RR,Industrials,90,1161.0,1132.0,29.0039,1132.0,3,stop_hit,1161.0,1132.0,False,-2.5,63.8,21.0
2025-11-10 20:32,EDV,Mining,85,3142.0,3011.85,130.1515,3186.0,5,friday_close,3402.0,3011.85,False,1.4,62.8,19.4
2025-11-10 20:32,LRE,Insurance,85,675.41,658.37,17.0418,658.37,2,stop_hit,675.41,658.37,False,-2.52,62.8,19.4
2025-11-10 20:32,FGP,Leisure,80,207.77,200.82,6.9539,200.82,5,stop_hit,207.77,200.82,False,-3.35,61.7,17.8
2025-11-17 20:32,BT-A,Telecoms,90,178.68,174.53,4.1493,175.13,5,friday_close,178.68,174.53,False,-1.99,63.8,23.1
