run_date,ticker,sector,score,entry_price,stop_price,atr,exit_price,exit_day,exit_reason,trigger_close,trigger_day,return_pct,prob,allocation_pct
2025-07-21 22:56,SVT,Utilities,95,2721.52,2674.42,47.104,2638.53,6,stop_next_open,2642.53,5,-3.05,64.9,20.9
2025-07-21 22:56,MRC,FinServices,95,254.47,251.17,3.2965,253.47,5,friday_close,,,-0.39,64.9,20.9
2025-07-21 22:56,BLND,RealEstate,90,361.29,353.77,7.5216,359.89,5,friday_close,,,-0.39,63.8,19.4
2025-07-21 22:56,CCH,ConsStaples,85,4012.0,3950.16,61.839,3912.0,6,stop_next_open,3912.0,5,-2.49,62.8,18.0
2025-07-28 22:56,THRL,FinServices,95,101.55,98.58,2.9718,96.96,5,stop_next_open,97.66,4,-4.53,64.9,24.5
2025-07-28 22:56,GSK,Pharma,80,1397.61,1364.72,32.8937,1398.11,5,friday_close,,,0.04,61.7,19.3
2025-07-28 22:56,PSON,Media,80,1054.92,1039.99,14.9336,1127.42,5,friday_close,,,6.87,61.7,19.3
2025-07-28 22:56,FGP,Leisure,80,221.17,210.7,10.4688,229.77,5,friday_close,,,3.89,61.7,19.3
2025-07-28 22:56,SHEL,Energy,75,2686.14,2646.42,39.7219,2681.14,5,friday_close,,,-0.19,60.7,17.6
2025-08-04 22:56,PRU,Insurance,85,950.34,933.67,16.6738,968.74,5,friday_close,,,1.94,62.8,20.7
2025-08-04 22:56,UU,Utilities,85,1149.83,1129.64,20.1932,1136.33,5,friday_close,,,-1.17,62.8,20.7
2025-08-04 22:56,FGP,Leisure,85,229.77,220.12,9.6542,229.77,5,friday_close,,,0.0,62.8,20.7
2025-08-04 22:56,JFJ,FinServices,85,643.92,633.31,10.6135,658.92,5,friday_close,,,2.33,62.8,20.7
2025-08-04 22:56,BA,Industrials,75,1835.37,1793.91,41.4621,1764.87,4,stop_next_open,1758.37,3,-3.84,60.7,17.3
2025-08-11 22:56,GPE,FinServices,100,337.97,329.77,8.1999,328.47,2,stop_next_open,327.47,1,-2.81,65.9,26.6
2025-08-11 22:56,ZIG,Industrials,80,335.75,325.34,10.4139,336.75,5,friday_close,,,0.3,61.7,19.6
2025-08-11 22:56,ANTO,Mining,75,2036.89,1985.69,51.1979,2101.88,5,friday_close,,,3.19,60.7,17.9
2025-08-11 22:56,NWG,Banking,75,533.0,521.51,11.4856,547.0,5,friday_close,,,2.63,60.7,17.9
2025-08-11 22:56,HTWS,Telecoms,75,121.6,118.55,3.054,124.4,5,friday_close,,,2.3,60.7,17.9
2025-08-18 22:56,EDIN,FinServices,110,794.85,786.63,8.2245,807.85,5,friday_close,,,1.64,68.0,24.9
2025-08-18 22:56,SNR,Industrials,95,199.79,190.93,8.8564,200.49,5,friday_close,,,0.35,64.9,20.6
2025-08-18 22:56,CCH,ConsStaples,90,3892.0,3820.31,71.6863,3820.0,6,stop_next_open,3814.0,5,-1.85,63.8,19.1
2025-08-18 22:56,EDV,Mining,85,2485.5,2412.51,72.9944,2577.48,5,friday_close,,,3.7,62.8,17.7
2025-08-18 22:56,JD,Retail,85,87.8,85.31,2.4876,94.02,5,friday_close,,,7.08,62.8,17.7
2025-08-25 22:56,EXPN,Industrials,95,3868.82,3805.05,63.7666,3792.83,4,stop_next_open,3801.82,3,-1.96,64.9,20.9
2025-08-25 22:56,DNLM,Retail,95,1226.71,1200.14,26.5697,1172.72,6,stop_next_open,1195.71,5,-4.4,64.9,20.9
2025-08-25 22:56,QLT,FinServices,95,168.08,163.43,4.6454,164.4,5,friday_close,,,-2.19,64.9,20.9
2025-08-25 22:56,MAB,Leisure,90,268.5,260.6,7.895,255.5,6,stop_next_open,260.0,5,-4.84,63.8,19.4
2025-08-25 22:56,ELM,Chemicals,85,168.2,163.91,4.2941,160.8,5,stop_next_open,162.6,4,-4.4,62.8,18.0
2025-09-01 22:56,HTG,Energy,85,333.96,320.72,13.2395,326.46,5,friday_close,,,-2.25,62.8,22.2
2025-09-01 22:56,INVP,FinServices,85,547.32,532.86,14.4646,579.31,5,friday_close,,,5.84,62.8,22.2
2025-09-01 22:56,BAB,Industrials,75,1036.98,1006.72,30.2594,1103.98,5,friday_close,,,6.46,60.7,18.5
2025-09-01 22:56,TSCO,ConsStaples,75,430.95,424.18,6.7718,439.95,5,friday_close,,,2.09,60.7,18.5
2025-09-01 22:56,SRE,RealEstate,75,101.47,99.0,2.4668,98.27,2,stop_next_open,98.67,1,-3.15,60.7,18.5
2025-09-08 22:56,BLND,RealEstate,90,338.1,331.31,6.7895,338.5,5,friday_close,,,0.12,63.8,21.3
2025-09-08 22:56,CMCX,FinServices,90,222.96,212.68,10.2775,222.96,5,friday_close,,,0.0,63.8,21.3
2025-09-08 22:56,ABF,ConsStaples,85,2236.56,2195.59,40.9649,1948.11,3,stop_next_open,1945.11,2,-12.9,62.8,19.7
2025-09-08 22:56,ELM,Chemicals,85,164.6,160.64,3.9598,163.4,5,friday_close,,,-0.73,62.8,19.7
2025-09-08 22:56,BCG,Tech,80,330.46,318.77,11.6924,324.48,5,friday_close,,,-1.81,61.7,18.0
2025-09-15 22:56,CTY,FinServices,95,500.9,495.68,5.221,498.4,5,friday_close,,,-0.5,64.9,21.2
2025-09-15 22:56,FSG,Banking,95,470.24,458.18,12.0697,466.41,5,friday_close,,,-0.81,64.9,21.2
2025-09-15 22:56,SSE,Energy,90,1672.34,1642.16,30.1796,1697.84,5,friday_close,,,1.52,63.8,19.7
2025-09-15 22:56,KIE,Materials,90,191.96,186.0,5.9521,211.95,5,friday_close,,,10.42,63.8,19.7
2025-09-15 22:56,UU,Utilities,85,1153.83,1134.39,19.4424,1131.83,5,friday_close,,,-1.91,62.8,18.2
2025-09-22 22:56,ASHM,FinServices,90,169.06,162.76,6.2964,175.45,5,friday_close,,,3.78,63.8,22.0
2025-09-22 22:56,GSK,Pharma,85,1510.75,1480.28,30.4678,1460.26,4,stop_next_open,1470.25,3,-3.34,62.8,20.4
2025-09-22 22:56,ITH,Energy,85,188.72,180.13,8.5943,194.72,5,friday_close,,,3.18,62.8,20.4
2025-09-22 22:56,KGF,Retail,80,252.17,247.1,5.0641,303.86,5,friday_close,,,20.5,61.7,18.6
2025-09-22 22:56,FSG,Banking,80,466.41,453.99,12.4259,479.91,5,friday_close,,,2.89,61.7,18.6
2025-09-29 22:56,CHG,Industrials,95,581.0,563.85,17.1464,579.0,5,friday_close,,,-0.34,64.9,22.2
2025-09-29 22:56,SEIT,Energy,95,56.88,54.61,2.2717,56.98,5,friday_close,,,0.18,64.9,22.2
2025-09-29 22:56,SEQI,FinServices,90,77.07,76.0,1.0652,76.97,5,friday_close,,,-0.13,63.8,20.6
2025-09-29 22:56,ABF,ConsStaples,80,2026.6,1982.81,43.7834,2100.58,5,friday_close,,,3.65,61.7,17.5
2025-09-29 22:56,CSN,Insurance,80,271.0,264.6,6.4034,273.5,5,friday_close,,,0.92,61.7,17.5
2025-10-06 22:56,CHRY,FinServices,95,123.4,119.92,3.479,121.2,5,friday_close,,,-1.78,64.9,22.5
2025-10-06 22:56,SMIN,Industrials,85,2401.68,2358.76,42.9187,2377.68,5,friday_close,,,-1.0,62.8,19.4
2025-10-06 22:56,SN,Pharma,85,1342.0,1323.19,18.8072,1324.0,5,friday_close,,,-1.34,62.8,19.4
2025-10-06 22:56,CSN,Insurance,85,273.5,266.89,6.605,274.0,5,friday_close,,,0.18,62.8,19.4
2025-10-06 22:56,BGEO,Banking,85,7634.39,7382.69,251.706,7949.37,5,friday_close,,,4.13,62.8,19.4
2025-10-13 22:56,CWK,ConsStaples,90,4954.74,4857.07,97.6677,5039.73,5,friday_close,,,1.72,63.8,23.1
2025-10-13 22:56,HMSO,FinServices,85,293.0,285.99,7.0147,299.4,5,friday_close,,,2.18,62.8,21.4
2025-10-13 22:56,MAB,Leisure,80,249.0,240.26,8.7355,245.5,5,friday_close,,,-1.41,61.7,19.6
2025-10-13 22:56,PHNX,Insurance,75,668.5,656.67,11.8338,654.0,5,stop_next_open,649.5,4,-2.17,60.7,17.9
