run_date,ticker,sector,score,entry_price,target_price,stop_price,limit_price,exit_price,exit_day,exit_reason,return_pct,prob,allocation_pct
2025-05-26 20:11,ITV,Media,75,78.03,80.51,75.55,80.11,77.78,5,friday_close,-0.32,60.7,18.5
2025-05-26 20:11,PNN,Energy,75,513.73,528.61,498.85,525.97,508.23,5,friday_close,-1.07,60.7,18.5
2025-06-02 20:11,PAGE,Industrials,90,271.74,281.65,261.83,280.24,275.94,5,friday_close,1.55,63.8,23.1
2025-06-02 20:11,TFIF,FinServices,85,110.54,112.12,108.96,111.56,111.94,5,friday_close,1.27,62.8,21.4
2025-06-02 20:11,BAG,ConsStaples,80,693.96,710.85,677.08,707.3,683.96,5,friday_close,-1.44,61.7,19.6
2025-06-02 20:11,BEZ,Insurance,75,948.0,970.33,925.67,965.48,964.0,5,friday_close,1.69,60.7,17.9
2025-06-02 20:11,GAW,ConsDis,75,15506.49,15878.11,15134.86,15798.72,16106.35,5,friday_close,3.87,60.7,17.9
2025-06-09 20:11,FCSS,FinServices,95,255.41,262.14,248.68,260.83,258.91,5,friday_close,1.37,64.9,23.0
2025-06-09 20:11,FOUR,Media,90,3469.38,3609.7,3329.05,3591.65,3519.37,5,friday_close,1.44,63.8,21.3
2025-06-09 20:11,WEIR,Industrials,85,2455.83,2501.4,2410.26,2488.89,2535.82,5,friday_close,3.26,62.8,19.7
2025-06-09 20:11,GFRD,Materials,80,409.39,424.57,394.22,422.45,411.89,5,friday_close,0.61,61.7,18.0
2025-06-09 20:11,MTRO,Banking,80,114.8,120.85,108.75,120.25,132.8,5,friday_close,15.68,61.7,18.0
2025-06-16 20:11,NG,Utilities,100,1052.85,1069.45,1036.25,1064.1,1076.85,5,friday_close,2.28,65.9,23.3
2025-06-16 20:11,PPET,FinServices,95,561.87,577.63,546.12,574.74,558.92,5,friday_close,-0.53,64.9,21.9
2025-06-16 20:11,CCH,ConsStaples,85,3918.0,3977.17,3858.83,3957.28,3850.0,5,friday_close,-1.74,62.8,18.8
2025-06-16 20:11,DNLM,Retail,85,1178.72,1212.61,1144.83,1206.55,1167.72,5,friday_close,-0.93,62.8,18.8
2025-06-16 20:11,AAF,Telecoms,80,177.06,181.41,172.7,180.5,171.69,5,friday_close,-3.03,61.7,17.2
2025-06-23 20:11,NG,Utilities,85,1076.85,1093.47,1060.22,1088.0,1061.35,5,friday_close,-1.44,62.8,20.7
2025-06-23 20:11,MAB,Leisure,85,283.0,291.92,274.08,290.46,286.5,5,friday_close,1.24,62.8,20.7
2025-06-23 20:11,PFD,ConsStaples,85,201.47,207.15,195.79,206.11,199.4,5,friday_close,-1.03,62.8,20.7
2025-06-23 20:11,GNS,Pharma,80,1959.75,2018.78,1900.71,2008.69,2044.74,5,friday_close,4.34,61.7,18.9
2025-06-23 20:11,HTWS,Telecoms,80,118.0,121.88,114.12,121.27,121.6,5,friday_close,3.05,61.7,18.9
2025-06-30 20:11,SN,Pharma,95,1112.91,1129.8,1096.02,1124.15,1108.91,5,friday_close,-0.36,64.9,22.2
2025-06-30 20:11,GAMA,Telecoms,90,1137.91,1171.17,1104.66,1165.31,1125.92,5,friday_close,-1.05,63.8,20.6
2025-06-30 20:11,III,FinServices,85,4119.54,4216.65,4022.43,4195.57,4175.53,5,friday_close,1.36,62.8,19.1
2025-06-30 20:11,BEZ,Insurance,85,935.0,953.26,916.74,948.49,896.0,5,friday_close,-4.17,62.8,19.1
2025-06-30 20:11,HSBA,Banking,85,881.67,895.61,867.73,891.13,893.57,5,friday_close,1.35,62.8,19.1
2025-07-07 20:11,EXPN,Industrials,95,3864.82,3934.15,3795.5,3914.48,3852.82,5,friday_close,-0.31,64.9,23.3
2025-07-07 20:11,ASHM,FinServices,85,158.57,163.78,153.36,162.96,170.06,5,friday_close,7.25,62.8,20.0
2025-07-07 20:11,BAG,ConsStaples,85,694.96,711.01,678.92,707.45,694.96,5,friday_close,0.0,62.8,20.0
2025-07-07 20:11,FAN,Materials,85,609.93,624.35,595.5,621.23,614.92,5,friday_close,0.82,62.8,20.0
2025-07-07 20:11,GAW,ConsDis,75,16016.37,16351.39,15681.35,16269.63,16077.21,5,friday_close,0.38,60.7,16.7
